지점,지점명,일시,기온(°C),습도(%)
119,수원,2024-06-01 01:00,16.5,92
119,수원,2024-06-01 02:00,16.8,91
119,수원,2024-06-01 03:00,16.5,90
119,수원,2024-06-01 04:00,16.4,90
119,수원,2024-06-01 05:00,16.1,90
119,수원,2024-06-01 06:00,16.2,91
119,수원,2024-06-01 07:00,16.4,91
119,수원,2024-06-01 08:00,17.9,83
119,수원,2024-06-01 09:00,19.6,74
119,수원,2024-06-01 10:00,20.1,67
119,수원,2024-06-01 11:00,21.5,60
119,수원,2024-06-01 12:00,21.8,56
119,수원,2024-06-01 13:00,22.6,50
119,수원,2024-06-01 14:00,22.7,46
119,수원,2024-06-01 15:00,23.8,44
119,수원,2024-06-01 16:00,23,41
119,수원,2024-06-01 17:00,22.1,47
119,수원,2024-06-01 18:00,21.6,49
119,수원,2024-06-01 19:00,19.8,54
119,수원,2024-06-01 20:00,18.1,63
119,수원,2024-06-01 21:00,17.3,70
119,수원,2024-06-01 22:00,16.7,75
119,수원,2024-06-01 23:00,15.8,81
119,수원,2024-06-02 00:00,15.1,86
119,수원,2024-06-02 01:00,15,86
119,수원,2024-06-02 02:00,14.5,88
119,수원,2024-06-02 03:00,14.9,84
119,수원,2024-06-02 04:00,14,85
119,수원,2024-06-02 05:00,12.9,89
119,수원,2024-06-02 06:00,13.8,90
119,수원,2024-06-02 07:00,16.4,80
119,수원,2024-06-02 08:00,18.2,72
119,수원,2024-06-02 09:00,20,56
119,수원,2024-06-02 10:00,21.3,48
119,수원,2024-06-02 11:00,22.7,46
119,수원,2024-06-02 12:00,24.1,36
119,수원,2024-06-02 13:00,24.5,42
119,수원,2024-06-02 14:00,24.7,39
119,수원,2024-06-02 15:00,24.3,40
119,수원,2024-06-02 16:00,24.3,38
119,수원,2024-06-02 17:00,24.1,41
119,수원,2024-06-02 18:00,22.9,44
119,수원,2024-06-02 19:00,22,46
119,수원,2024-06-02 20:00,19.5,56
119,수원,2024-06-02 21:00,18.2,58
119,수원,2024-06-02 22:00,17.5,60
119,수원,2024-06-02 23:00,16.5,65
119,수원,2024-06-03 00:00,15.3,68
119,수원,2024-06-03 01:00,14.9,67
119,수원,2024-06-03 02:00,14.4,74
119,수원,2024-06-03 03:00,13.7,82
119,수원,2024-06-03 04:00,13.4,84
119,수원,2024-06-03 05:00,13.1,86
119,수원,2024-06-03 06:00,13.7,83
119,수원,2024-06-03 07:00,18,68
119,수원,2024-06-03 08:00,19.7,62
119,수원,2024-06-03 09:00,21.1,57
119,수원,2024-06-03 10:00,22.4,53
119,수원,2024-06-03 11:00,23.5,43
119,수원,2024-06-03 12:00,24.2,34
119,수원,2024-06-03 13:00,25.4,34
119,수원,2024-06-03 14:00,26,30
119,수원,2024-06-03 15:00,26.7,29
119,수원,2024-06-03 16:00,26.9,29
119,수원,2024-06-03 17:00,26.5,30
119,수원,2024-06-03 18:00,26.4,30
119,수원,2024-06-03 19:00,24.1,46
119,수원,2024-06-03 20:00,22,53
119,수원,2024-06-03 21:00,20.5,57
119,수원,2024-06-03 22:00,19.2,62
119,수원,2024-06-03 23:00,20.8,34
119,수원,2024-06-04 00:00,20.7,33
119,수원,2024-06-04 01:00,20,32
119,수원,2024-06-04 02:00,19.5,33
119,수원,2024-06-04 03:00,18.4,36
119,수원,2024-06-04 04:00,17.4,39
119,수원,2024-06-04 05:00,15.1,51
119,수원,2024-06-04 06:00,15.3,52
119,수원,2024-06-04 07:00,19.5,40
119,수원,2024-06-04 08:00,20.9,37
119,수원,2024-06-04 09:00,22.3,38
119,수원,2024-06-04 10:00,22.9,32
119,수원,2024-06-04 11:00,24.2,30
119,수원,2024-06-04 12:00,24.9,29
119,수원,2024-06-04 13:00,26.1,29
119,수원,2024-06-04 14:00,27.3,27
119,수원,2024-06-04 15:00,27.5,32
119,수원,2024-06-04 16:00,26.8,31
119,수원,2024-06-04 17:00,26.1,34
119,수원,2024-06-04 18:00,25.1,33
119,수원,2024-06-04 19:00,24,33
119,수원,2024-06-04 20:00,21.9,41
119,수원,2024-06-04 21:00,20,51
119,수원,2024-06-04 22:00,18.6,71
119,수원,2024-06-04 23:00,18.2,76
119,수원,2024-06-05 00:00,17.7,82
119,수원,2024-06-05 01:00,17.3,82
119,수원,2024-06-05 02:00,16.3,85
119,수원,2024-06-05 03:00,15.7,89
119,수원,2024-06-05 04:00,15.4,88
119,수원,2024-06-05 05:00,15.5,91
119,수원,2024-06-05 06:00,16,90
119,수원,2024-06-05 07:00,18.5,78
119,수원,2024-06-05 08:00,20.7,69
119,수원,2024-06-05 09:00,21.9,62
119,수원,2024-06-05 10:00,23.3,55
119,수원,2024-06-05 11:00,24.9,50
119,수원,2024-06-05 12:00,26.5,42
119,수원,2024-06-05 13:00,27.7,42
119,수원,2024-06-05 14:00,28.3,42
119,수원,2024-06-05 15:00,26.3,48
119,수원,2024-06-05 16:00,25.4,50
119,수원,2024-06-05 17:00,25.2,47
119,수원,2024-06-05 18:00,23,51
119,수원,2024-06-05 19:00,21.9,53
119,수원,2024-06-05 20:00,20.8,60
119,수원,2024-06-05 21:00,19.3,67
119,수원,2024-06-05 22:00,18.7,72
119,수원,2024-06-05 23:00,18.4,72
119,수원,2024-06-06 00:00,18.2,71
119,수원,2024-06-06 01:00,17.7,73
