Year,Rev_Cap,Rev_En,Rev_Gross,Rev_Net,OPEX,CAPEX_Init,CAPEX_Reinvest,ESS_Refurb,CF_Net,Discount_Factor,CF_Discounted,Cumulative_DCF
0,0.0,0.0,0.0,0.0,0,-370000000,0,0,-370000000.0,1.0,-370000000.0,-370000000.0
1,27989920.0,12003998.0,39993918.0,35994526.2,-7400000,0,0,0,28594526.200000003,0.9569377990430623,27363182.96650718,-342636817.0334928
2,28549718.400000002,11883958.02,40433676.42,36390308.778000005,-7400000,0,0,0,28990308.778000005,0.9157299512373802,26547294.04363454,-316089522.98985827
3,29120712.768,11765118.4398,40885831.2078,36797248.08702,-7400000,0,0,0,29397248.087020002,0.8762966040549093,25760708.667215306,-290328814.322643
4,29703127.023360003,11647467.255402,41350594.278762005,37215534.85088581,-7400000,0,0,0,29815534.85088581,0.8385613435932148,25002154.964509122,-265326659.35813385
5,30297189.563827198,11530992.582847979,41828182.14667518,37645363.93200766,-7400000,0,0,0,30245363.932007663,0.802451046500684,24270423.93903359,-241056235.41910025
6,30903133.355103746,11415682.6570195,42318816.01212324,38086934.41091092,-7400000,0,0,0,30686934.41091092,0.7678957382781665,23564366.15496011,-217491869.26414013
7,31521196.022205822,11301525.830449305,42822721.85265513,38540449.66738962,-7400000,0,0,0,31140449.667389616,0.7348284576824561,22882888.600626063,-194608980.66351408
8,32151619.94264994,11188510.572144812,43340130.51479475,39006117.46331528,-7400000,0,0,0,31606117.46331528,0.7031851269688576,22224951.721433982,-172384028.94208008
9,32794652.34150294,11076625.466423364,43871277.807926305,39484150.02713367,-7400000,0,0,0,32084150.027133673,0.6729044277213949,21589566.612935763,-150794462.32914433
10,33450545.388332997,10965859.21175913,44416404.60009213,39974764.14008292,-7400000,0,-110000000,0,-77425235.85991707,0.643927682030043,-49856252.657905765,-200650714.9870501
11,34119556.296099655,10856200.619641539,44975756.91574119,40478181.22416707,-7400000,0,0,0,33078181.22416707,0.6161987387847302,20382733.55162449,-180267981.43542558
12,34801947.42202165,10747638.613445124,45549586.035466775,40994627.4319201,-7400000,0,0,0,33594627.4319201,0.5896638648657706,19809537.85023164,-160458443.58519393
13,35497986.37046208,10640162.227310672,46138148.597772755,41524333.73799548,-7400000,0,0,0,34124333.73799548,0.5642716410198761,19255393.797048636,-141203049.7881453
14,36207946.097871326,10533760.605037564,46741706.70290889,42067536.032618,-7400000,0,0,0,34667536.032618,0.5399728622199772,18719528.657646935,-122483521.13049836
15,36932105.01982875,10428422.998987189,47360528.01881594,42624475.216934346,-7400000,0,0,-100000000,-64775524.783065654,0.5167204423157676,-33470837.817141652,-155954358.94764
16,37670747.12022533,10324138.768997317,47994885.88922265,43195397.30030039,-7400000,0,0,0,35795397.30030039,0.49446932279020833,17699725.862085987,-138254633.085554
17,38424162.062629834,10220897.381307343,48645059.443937175,43780553.49954346,-7400000,0,0,0,36380553.49954346,0.47317638544517554,17214418.805408806,-121040214.2801452
18,39192645.303882435,10118688.40749427,49311333.711376704,44380200.34023903,-7400000,0,0,0,36980200.34023903,0.45280036884705793,16744648.354098331,-104295565.92604686
19,39976498.20996009,10017501.523419328,49993999.733379416,44994599.760041475,-7400000,0,0,0,37594599.760041475,0.4333017883703904,16289807.309095021,-88005758.61695184
20,40776028.17415929,9917326.508185135,50693354.68234442,45624019.21410998,-7400000,0,-110000000,0,-71775980.78589001,0.4146428596845841,-29761397.929727197,-117767156.54667903
21,41591548.737642474,9818153.243103283,51409701.980745755,46268731.78267118,-7400000,0,0,0,38868731.78267118,0.3967874255354872,15422624.017875466,-102344532.52880357
22,42423379.71239532,9719971.71067225,52143351.42306757,46929016.28076082,-7400000,0,0,0,39529016.28076082,0.3797008856798921,15009202.491859756,-87335330.03694382
23,43271847.30664323,9622771.993565528,52894619.30020876,47605157.370187886,-7400000,0,0,0,40205157.370187886,0.3633501298372174,14608549.150583526,-72726780.8863603
24,44137284.2527761,9526544.273629872,53663828.526405975,48297445.673765376,-7400000,0,0,0,40897445.673765376,0.3477034735284377,14220183.919208799,-58506596.96715151
25,45020029.937831625,9431278.830893572,54451308.7687252,49006177.891852684,-7400000,0,0,0,41606177.891852684,0.3327305966779308,13843648.395444278,-44662948.571707234
26,45920430.53658825,9336966.042584637,55257396.57917289,49731656.921255596,-7400000,0,0,0,42331656.921255596,0.3184024848592639,13478504.751937639,-31184443.819769595
27,46838839.14732002,9243596.38215879,56082435.5294788,50474191.976530924,-7400000,0,0,0,43074191.976530924,0.30469137307106603,13124334.697255904,-18060109.12251369
28,47775615.93026642,9151160.418337202,56926776.34860362,51234098.71374326,-7400000,0,0,0,43834098.71374326,0.2915706919340345,12780738.492270894,-5279370.630242795
29,48731128.24887175,9059648.814153831,57790777.06302558,52011699.356723025,-7400000,0,0,0,44611699.356723025,0.27901501620481767,12447334.018940529,7167963.388697734
30,49705750.81384919,8969052.326012291,58674803.13986148,52807322.825875334,-7400000,0,0,0,45407322.825875334,0.2670000155070026,12123755.898640187,19291719.28733792
