Year,Rev_Gross,Rev_Net,OPEX,CAPEX,CF_Net,CF_Discounted,Cumulative_DCF
0,0.0,0.0,0.0,-2055555555.5555556,-2055555555.5555556,-2055555555.5555556,-2055555555.5555556
1,444376866.6666666,399939180.0,-41111111.11111111,0.0,358828068.8888889,343376142.47740567,-1712179413.0781498
2,449263071.3333333,404336764.2,-41111111.11111111,0.0,363225653.0888889,332616609.5912538,-1379562803.486896
3,454287013.41999996,408858312.07799995,-41111111.11111111,0.0,367747200.96688884,322255623.35798293,-1057307180.1289132
4,459451047.5418,413505942.78762,-41111111.11111111,0.0,372394831.6765089,312275910.3978224,-745031269.7310908
5,464757579.40750194,418281821.46675175,-41111111.11111111,0.0,377170710.35564065,302661031.2342902,-442370238.4968006
6,470209066.80136937,423188160.12123245,-41111111.11111111,0.0,382077049.01012135,293395337.62877035,-148974900.86803025
7,475808020.58505696,428227218.52655125,-41111111.11111111,0.0,387116107.41544014,284463932.1561239,135489031.28809363
8,481557005.7199416,433401305.1479475,-41111111.11111111,0.0,392290194.0368364,275852629.9024306,411341661.1905242
9,487458642.31029224,438712778.07926303,-41111111.11111111,0.0,397601666.9681519,267547922.1722769,678889583.3628011
10,493515606.6676903,444164046.00092125,-41111111.11111111,-611111111.111111,-208058176.2213009,-133974419.1415805,544915164.2212206
11,499730632.3971244,449757569.157412,-41111111.11111111,0.0,408646458.0463009,251807432.05697778,796722596.2781984
12,506106511.5051864,455495860.3546677,-41111111.11111111,0.0,414384749.2435566,244347712.7803888,1041070309.0585872
13,512646095.5308083,461381485.97772753,-41111111.11111111,0.0,420270374.8666164,237146654.09802416,1278216963.1566114
14,519352296.69898766,467417067.0290889,-41111111.11111111,0.0,426305955.9179778,230193647.1984539,1508410610.3550653
15,526228089.09795487,473605280.1881594,-41111111.11111111,-1000000000.0,-567505830.9229517,-293241863.97128487,1215168746.3837805
16,533276509.8802516,479948858.89222646,-41111111.11111111,0.0,438837747.78111535,216991803.96010837,1432160550.3438888
17,540500660.4881909,486450594.4393718,-41111111.11111111,0.0,445339483.3282607,210724127.01728842,1642884677.3611772
18,547903707.9041857,493113337.1137671,-41111111.11111111,0.0,452002226.002656,204666774.65369385,1847551452.0148711
19,555488885.926438,499939997.3337942,-41111111.11111111,0.0,458828886.2226831,198811376.95628297,2046362828.9711542
20,563259496.4704936,506933546.8234442,-41111111.11111111,-611111111.111111,-145288675.39877796,-60242911.847134575,1986119917.1240196
21,571218910.8971751,514097019.80745757,-41111111.11111111,0.0,472985908.69634646,187674861.02618632,2173794778.150206
22,579370571.3674175,521433514.2306757,-41111111.11111111,0.0,480322403.1195646,182378841.87639284,2356173620.026599
23,587717992.2245418,528946193.0020876,-41111111.11111111,0.0,487835081.8909765,177254940.34423587,2533428560.370835
24,596264761.4045107,536638285.26405966,-41111111.11111111,0.0,495527174.15294856,172296519.6807113,2705725080.051546
25,605014541.8747244,544513087.6872519,-41111111.11111111,0.0,503401976.5761408,167497240.03502908,2873222320.086575
26,613971073.101921,552573965.7917289,-41111111.11111111,0.0,511462854.68061775,162851043.8435213,3036073363.930096
27,623138172.5497645,560824355.2947881,-41111111.11111111,0.0,519713244.183677,158352141.97354278,3194425505.903639
28,632519737.2067069,569267763.4860362,-41111111.11111111,0.0,528156652.3749251,153995000.58252025,3348420506.4861593
29,642119745.1447287,577907770.6302558,-41111111.11111111,0.0,536796659.5191447,149774328.65442616,3498194835.1405854
30,651942257.109572,586748031.3986149,-41111111.11111111,0.0,545636920.2875037,145685066.17795664,3643879901.318542
