datetime,season,n_intervals,active_ratio_shed,active_ratio_up,Q_shed_kW,Q_up_kW,E_shed_kWh,E_up_kWh,SMP_hourly,is_event_shed,is_event_up
2024-06-01 00:00:00,Summer,3,0.0,0.0,0.0,0.0,0.0,0.0,100.33,False,False
2024-06-01 01:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,93.74,False,False
2024-06-01 02:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,90.02,False,False
2024-06-01 03:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,86.94,False,False
2024-06-01 04:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,90.24,False,False
2024-06-01 05:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,90.24,False,False
2024-06-01 06:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,90.24,False,False
2024-06-01 07:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,94.29,False,False
2024-06-01 08:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,107.7,False,False
2024-06-01 09:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,145.67,False,False
2024-06-01 10:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,143.72,False,False
2024-06-01 11:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,118.73,False,False
2024-06-01 12:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,144.14,False,False
2024-06-01 13:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,120.85,False,False
2024-06-01 14:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,106.06,False,False
2024-06-01 15:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,105.91,False,False
2024-06-01 16:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,110.73,False,False
2024-06-01 17:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,110.45,False,False
2024-06-01 18:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,122.45,False,False
2024-06-01 19:00:00,Summer,4,0.0,0.0,0.0,0.0,0.0,0.0,124.3,False,False
