Year,Month,Label,Rate_Low,Rate_Base,Rate_High,Total_Days,Weekdays,Avail_Factor,Capacity_Reg_kW,Rev_Low,Rev_Base,Rev_High
2024,6,2024-06,1815.45,1900.76,1986.07,30,20,0.6666666666666666,1612.149635756123,1951184.7041556356,2042873.0277732054,2134561.3513907753
2024,7,2024-07,3075.1,3129.1499999999996,3183.2,31,23,0.7419354838709677,1612.149635756123,3678160.9978391626,3742810.798474331,3807460.5991094992
2024,8,2024-08,2654.0,2701.0,2748.0,31,22,0.7096774193548387,1612.149635756123,3036457.836533178,3090230.827609688,3144003.8186861994
2024,9,2024-09,2325.4,2366.21,2407.02,30,21,0.7,1612.149635756123,2624224.934091102,2670279.212735747,2716333.491380392
2024,10,2024-10,952.02,968.8499999999999,985.68,31,23,0.7419354838709677,1612.149635756123,1138721.6133338232,1158852.161801721,1178982.710269619
2024,11,2024-11,1876.2,1908.9,1941.6,30,21,0.7,1612.149635756123,2117300.6026239465,2154202.707786404,2191104.8129488616
2024,12,2024-12,2862.2,2912.8,2963.4,31,22,0.7096774193548387,1612.149635756123,3274660.745940189,3332552.519311922,3390444.2926836545
2025,1,2025-01,2348.64,2458.8,2568.96,31,23,0.7419354838709677,1612.149635756123,2809234.186193935,2940997.776165631,3072761.366137327
2025,2,2025-02,2276.4,2383.5,2490.6,28,20,0.7142857142857143,1612.149635756123,2621355.307739456,2744684.7548747994,2868014.2020101426
2025,3,2025-03,1674.4,1753.0,1831.6,31,21,0.6774193548387096,1612.149635756123,1828614.5274939064,1914453.6948738757,2000292.8622538454
2025,4,2025-04,942.26,986.26,1030.26,30,22,0.7333333333333333,1612.149635756123,1113980.3515775471,1165999.046491278,1218017.7414050088
2025,5,2025-05,861.6,902.0,942.4,31,22,0.7096774193548387,1612.149635756123,985761.8959898214,1031983.7861917582,1078205.6763936952
