Base_Rate,Event_Hours,Scenario,Capacity_KW,Revenue_Cap_Shed,Revenue_En_Shed,Revenue_En_Up,Total_Revenue
35000,0,Base (P90 Cap),1561.1685388692529,54640898.86042385,0.0,0,54640898.86042385
35000,0,Conservative (Mean Cap),1546.0022552598627,54110078.9340952,0.0,0,54110078.9340952
35000,10,Base (P90 Cap),1561.1685388692529,54640898.86042385,3306870.108643631,0,57947768.96906748
35000,10,Conservative (Mean Cap),1546.0022552598627,54110078.9340952,3306870.108643631,0,57416949.042738825
35000,20,Base (P90 Cap),1561.1685388692529,54640898.86042385,6346163.063419243,0,60987061.92384309
35000,20,Conservative (Mean Cap),1546.0022552598627,54110078.9340952,6346163.063419243,0,60456241.99751444
35000,30,Base (P90 Cap),1561.1685388692529,54640898.86042385,9243015.256476447,0,63883914.116900295
35000,30,Conservative (Mean Cap),1546.0022552598627,54110078.9340952,9243015.256476447,0,63353094.19057164
35000,40,Base (P90 Cap),1561.1685388692529,54640898.86042385,12003998.07606075,0,66644896.9364846
35000,40,Conservative (Mean Cap),1546.0022552598627,54110078.9340952,12003998.07606075,0,66114077.010155946
35000,50,Base (P90 Cap),1561.1685388692529,54640898.86042385,14641937.869190535,0,69282836.72961438
35000,50,Conservative (Mean Cap),1546.0022552598627,54110078.9340952,14641937.869190535,0,68752016.80328573
35000,60,Base (P90 Cap),1561.1685388692529,54640898.86042385,17235656.842021376,0,71876555.70244522
35000,60,Conservative (Mean Cap),1546.0022552598627,54110078.9340952,17235656.842021376,0,71345735.77611658
40000,0,Base (P90 Cap),1561.1685388692529,62446741.55477011,0.0,0,62446741.55477011
40000,0,Conservative (Mean Cap),1546.0022552598627,61840090.21039451,0.0,0,61840090.21039451
40000,10,Base (P90 Cap),1561.1685388692529,62446741.55477011,3306870.108643631,0,65753611.66341374
40000,10,Conservative (Mean Cap),1546.0022552598627,61840090.21039451,3306870.108643631,0,65146960.31903814
40000,20,Base (P90 Cap),1561.1685388692529,62446741.55477011,6346163.063419243,0,68792904.61818935
40000,20,Conservative (Mean Cap),1546.0022552598627,61840090.21039451,6346163.063419243,0,68186253.27381375
40000,30,Base (P90 Cap),1561.1685388692529,62446741.55477011,9243015.256476447,0,71689756.81124656
40000,30,Conservative (Mean Cap),1546.0022552598627,61840090.21039451,9243015.256476447,0,71083105.46687096
40000,40,Base (P90 Cap),1561.1685388692529,62446741.55477011,12003998.07606075,0,74450739.63083085
40000,40,Conservative (Mean Cap),1546.0022552598627,61840090.21039451,12003998.07606075,0,73844088.28645526
40000,50,Base (P90 Cap),1561.1685388692529,62446741.55477011,14641937.869190535,0,77088679.42396064
40000,50,Conservative (Mean Cap),1546.0022552598627,61840090.21039451,14641937.869190535,0,76482028.07958505
40000,60,Base (P90 Cap),1561.1685388692529,62446741.55477011,17235656.842021376,0,79682398.39679149
40000,60,Conservative (Mean Cap),1546.0022552598627,61840090.21039451,17235656.842021376,0,79075747.05241588
45000,0,Base (P90 Cap),1561.1685388692529,70252584.24911638,0.0,0,70252584.24911638
45000,0,Conservative (Mean Cap),1546.0022552598627,69570101.48669383,0.0,0,69570101.48669383
45000,10,Base (P90 Cap),1561.1685388692529,70252584.24911638,3306870.108643631,0,73559454.35776001
45000,10,Conservative (Mean Cap),1546.0022552598627,69570101.48669383,3306870.108643631,0,72876971.59533747
45000,20,Base (P90 Cap),1561.1685388692529,70252584.24911638,6346163.063419243,0,76598747.31253561
45000,20,Conservative (Mean Cap),1546.0022552598627,69570101.48669383,6346163.063419243,0,75916264.55011307
45000,30,Base (P90 Cap),1561.1685388692529,70252584.24911638,9243015.256476447,0,79495599.50559282
45000,30,Conservative (Mean Cap),1546.0022552598627,69570101.48669383,9243015.256476447,0,78813116.74317028
45000,40,Base (P90 Cap),1561.1685388692529,70252584.24911638,12003998.07606075,0,82256582.32517713
45000,40,Conservative (Mean Cap),1546.0022552598627,69570101.48669383,12003998.07606075,0,81574099.56275457
45000,50,Base (P90 Cap),1561.1685388692529,70252584.24911638,14641937.869190535,0,84894522.1183069
45000,50,Conservative (Mean Cap),1546.0022552598627,69570101.48669383,14641937.869190535,0,84212039.35588436
45000,60,Base (P90 Cap),1561.1685388692529,70252584.24911638,17235656.842021376,0,87488241.09113775
45000,60,Conservative (Mean Cap),1546.0022552598627,69570101.48669383,17235656.842021376,0,86805758.3287152
