no,date,hour,minute,measured_kWh,realtime_kWh
1,20240601,0,15,797.76,794.88
2,20240601,0,30,800.64,800.64
3,20240601,0,45,799.68,800.64
4,20240601,1,0,804.48,804.48
5,20240601,1,15,800.16,800.64
6,20240601,1,30,804.96,804.48
7,20240601,1,45,800.64,800.64
8,20240601,2,0,803.04,802.56
9,20240601,2,15,803.52,804.48
10,20240601,2,30,802.56,800.64
11,20240601,2,45,800.64,802.56
12,20240601,3,0,801.12,800.64
13,20240601,3,15,799.68,798.72
14,20240601,3,30,800.64,800.64
15,20240601,3,45,803.04,804.48
16,20240601,4,0,800.16,798.72
17,20240601,4,15,800.16,800.64
18,20240601,4,30,794.88,794.88
19,20240601,4,45,794.40,794.88
20,20240601,5,0,797.76,796.80
21,20240601,5,15,793.92,794.88
22,20240601,5,30,792.96,792.96
23,20240601,5,45,796.32,794.88
24,20240601,6,0,798.24,798.72
25,20240601,6,15,799.20,798.72
26,20240601,6,30,796.32,796.80
27,20240601,6,45,801.12,800.64
28,20240601,7,0,797.76,798.72
29,20240601,7,15,797.28,796.80
30,20240601,7,30,798.24,798.72
31,20240601,7,45,792.48,792.96
32,20240601,8,0,802.08,800.64
33,20240601,8,15,804.00,804.48
34,20240601,8,30,798.24,798.72
35,20240601,8,45,795.36,794.88
36,20240601,9,0,799.68,800.64
37,20240601,9,15,801.60,800.64
38,20240601,9,30,803.52,804.48
39,20240601,9,45,800.16,798.72
40,20240601,10,0,797.28,798.72
41,20240601,10,15,796.80,796.80
42,20240601,10,30,796.32,794.88
43,20240601,10,45,807.36,808.32
44,20240601,11,0,802.08,802.56
45,20240601,11,15,804.96,804.48
46,20240601,11,30,806.40,806.40
47,20240601,11,45,804.48,804.48
48,20240601,12,0,804.00,804.48
49,20240601,12,15,802.56,802.56
50,20240601,12,30,807.36,806.40
51,20240601,12,45,809.76,810.24
52,20240601,13,0,805.92,806.40
53,20240601,13,15,798.24,796.80
54,20240601,13,30,800.16,800.64
55,20240601,13,45,799.20,798.72
56,20240601,14,0,806.40,808.32
57,20240601,14,15,811.20,810.24
58,20240601,14,30,803.04,802.56
59,20240601,14,45,801.60,802.56
60,20240601,15,0,800.16,800.64
61,20240601,15,15,797.28,796.80
62,20240601,15,30,798.24,796.80
63,20240601,15,45,804.48,804.48
64,20240601,16,0,802.08,802.56
65,20240601,16,15,804.48,804.48
66,20240601,16,30,796.32,796.80
